id,state,city,name,category,cuisine,must_try_dish,notes
R001,Maharashtra,Mumbai,Ashok Vada Pav,Street Food,Maharashtrian,Vada Pav,Popular vada pav stall in Dadar serving authentic crispy potato fritters in pav.
R002,Maharashtra,Mumbai,Cannon Pav Bhaji,Street Food,Maharashtrian,Pav Bhaji,Famous butter-rich pav bhaji stall near CST station with generous ghee.
R003,Maharashtra,Mumbai,Sardar Pav Bhaji,Street Food,Maharashtrian,Pav Bhaji,Legendary pav bhaji establishment since 1965 in Tardeo known for rich butter.
R004,Maharashtra,Mumbai,Anand Stall,Street Food,Maharashtrian,Vada Pav,Buttery vada pav with traditional chutneys in Vile Parle.
R005,Maharashtra,Mumbai,Gayatri Snacks,Street Food,Maharashtrian,Bombay Sandwich,Famous for classic Mumbai sandwich with potato and chutney.
R006,Maharashtra,Pune,Vaishali,Casual Dining,Maharashtrian and South Indian,Misal Pav,Legendary restaurant since 1954 serving authentic South Indian and Maharashtrian thalis.
R007,Maharashtra,Pune,Bedekar Misal,Street Food,Maharashtrian,Misal Pav,Iconic misal pav place with different spice levels serving authentic flavors.
R008,Maharashtra,Pune,Vohuman Cafe,Cafe,Irani Cuisine,Cheese Omelet,Well-known Irani cafe since 1978 serving cheese omelets and Irani chai.
R009,Maharashtra,Pune,Wadeshwar,Casual Dining,Maharashtrian,Misal Pav,Casual spot with modern take on traditional Maharashtrian dishes.
R010,Maharashtra,Pune,Aaswad,Casual Dining,Maharashtrian,Misal Pav Thali,Authentic eatery serving traditional thalis with puri bhaji and misal pav.
R011,Maharashtra,Nashik,Chandu Halwai,Street Food,Maharashtrian,Pav Bhaji,Popular street food establishment in Nashik market.
R012,Maharashtra,Nashik,Sula Wines Restaurant,Casual Dining,Continental,Grilled Chicken,Restaurant near Sula Vineyards serving multi-cuisine.
R013,Maharashtra,Nashik,Godavari Restaurant,Casual Dining,Maharashtrian,Vada Pav,Local favorite serving traditional Maharashtrian cuisine.
R014,Maharashtra,Nashik,Annapurna Dhaba,Casual Dining,Maharashtrian,Misal Pav,Traditional dhaba-style restaurant.
