state,city,tier,accommodation_per_day,food_per_day,local_transport_per_day,activities_per_day,total_per_day,notes
Maharashtra,Mumbai,budget,1120,690,440,500,2750,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Maharashtra,Mumbai,mid-range,2380,1310,690,880,5260,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Maharashtra,Mumbai,luxury,6880,2750,1500,2000,13130,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Maharashtra,Pune,budget,900,550,350,400,2200,
Maharashtra,Pune,mid-range,1900,1050,550,700,4200,
Maharashtra,Pune,luxury,5500,2200,1200,1600,10500,
Maharashtra,Nashik,budget,900,550,350,400,2200,
Maharashtra,Nashik,mid-range,1900,1050,550,700,4200,
Maharashtra,Nashik,luxury,5500,2200,1200,1600,10500,
Maharashtra,Aurangabad (Chhatrapati Sambhajinagar),budget,900,550,350,400,2200,
Maharashtra,Aurangabad (Chhatrapati Sambhajinagar),mid-range,1900,1050,550,700,4200,
Maharashtra,Aurangabad (Chhatrapati Sambhajinagar),luxury,5500,2200,1200,1600,10500,
Maharashtra,Lonavala,budget,900,550,350,400,2200,
Maharashtra,Lonavala,mid-range,1900,1050,550,700,4200,
Maharashtra,Lonavala,luxury,5500,2200,1200,1600,10500,
Maharashtra,Mahabaleshwar,budget,900,550,350,400,2200,
Maharashtra,Mahabaleshwar,mid-range,1900,1050,550,700,4200,
Maharashtra,Mahabaleshwar,luxury,5500,2200,1200,1600,10500,
Maharashtra,Nagpur,budget,740,450,290,330,1810,Smaller town — generally lower accommodation & transport costs than state capital
Maharashtra,Nagpur,mid-range,1560,860,450,570,3440,Smaller town — generally lower accommodation & transport costs than state capital
Maharashtra,Nagpur,luxury,4510,1800,980,1310,8600,Smaller town — generally lower accommodation & transport costs than state capital
Maharashtra,Kolhapur,budget,740,450,290,330,1810,Smaller town — generally lower accommodation & transport costs than state capital
Maharashtra,Kolhapur,mid-range,1560,860,450,570,3440,Smaller town — generally lower accommodation & transport costs than state capital
Maharashtra,Kolhapur,luxury,4510,1800,980,1310,8600,Smaller town — generally lower accommodation & transport costs than state capital
Maharashtra,Alibaug,budget,900,550,350,400,2200,
Maharashtra,Alibaug,mid-range,1900,1050,550,700,4200,
Maharashtra,Alibaug,luxury,5500,2200,1200,1600,10500,
Rajasthan,Jaipur,budget,1120,690,440,500,2750,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Rajasthan,Jaipur,mid-range,2380,1310,690,880,5260,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Rajasthan,Jaipur,luxury,6880,2750,1500,2000,13130,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Rajasthan,Udaipur,budget,1120,690,440,500,2750,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Rajasthan,Udaipur,mid-range,2380,1310,690,880,5260,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Rajasthan,Udaipur,luxury,6880,2750,1500,2000,13130,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Rajasthan,Jodhpur,budget,1120,690,440,500,2750,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Rajasthan,Jodhpur,mid-range,2380,1310,690,880,5260,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Rajasthan,Jodhpur,luxury,6880,2750,1500,2000,13130,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Rajasthan,Jaisalmer,budget,1120,690,440,500,2750,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Rajasthan,Jaisalmer,mid-range,2380,1310,690,880,5260,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Rajasthan,Jaisalmer,luxury,6880,2750,1500,2000,13130,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Rajasthan,Pushkar,budget,900,550,350,400,2200,
Rajasthan,Pushkar,mid-range,1900,1050,550,700,4200,
Rajasthan,Pushkar,luxury,5500,2200,1200,1600,10500,
Rajasthan,Mount Abu,budget,900,550,350,400,2200,
Rajasthan,Mount Abu,mid-range,1900,1050,550,700,4200,
Rajasthan,Mount Abu,luxury,5500,2200,1200,1600,10500,
Rajasthan,Bikaner,budget,740,450,290,330,1810,Smaller town — generally lower accommodation & transport costs than state capital
Rajasthan,Bikaner,mid-range,1560,860,450,570,3440,Smaller town — generally lower accommodation & transport costs than state capital
Rajasthan,Bikaner,luxury,4510,1800,980,1310,8600,Smaller town — generally lower accommodation & transport costs than state capital
Rajasthan,Ajmer,budget,740,450,290,330,1810,Smaller town — generally lower accommodation & transport costs than state capital
Rajasthan,Ajmer,mid-range,1560,860,450,570,3440,Smaller town — generally lower accommodation & transport costs than state capital
Rajasthan,Ajmer,luxury,4510,1800,980,1310,8600,Smaller town — generally lower accommodation & transport costs than state capital
Rajasthan,Chittorgarh,budget,740,450,290,330,1810,Smaller town — generally lower accommodation & transport costs than state capital
Rajasthan,Chittorgarh,mid-range,1560,860,450,570,3440,Smaller town — generally lower accommodation & transport costs than state capital
Rajasthan,Chittorgarh,luxury,4510,1800,980,1310,8600,Smaller town — generally lower accommodation & transport costs than state capital
Kerala,Kochi,budget,1120,690,440,500,2750,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Kerala,Kochi,mid-range,2380,1310,690,880,5260,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Kerala,Kochi,luxury,6880,2750,1500,2000,13130,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Kerala,Munnar,budget,1120,690,440,500,2750,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Kerala,Munnar,mid-range,2380,1310,690,880,5260,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Kerala,Munnar,luxury,6880,2750,1500,2000,13130,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Kerala,Alleppey,budget,1120,690,440,500,2750,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Kerala,Alleppey,mid-range,2380,1310,690,880,5260,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Kerala,Alleppey,luxury,6880,2750,1500,2000,13130,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Kerala,Thekkady,budget,900,550,350,400,2200,
Kerala,Thekkady,mid-range,1900,1050,550,700,4200,
Kerala,Thekkady,luxury,5500,2200,1200,1600,10500,
Kerala,Wayanad,budget,900,550,350,400,2200,
Kerala,Wayanad,mid-range,1900,1050,550,700,4200,
Kerala,Wayanad,luxury,5500,2200,1200,1600,10500,
Kerala,Kovalam,budget,900,550,350,400,2200,
Kerala,Kovalam,mid-range,1900,1050,550,700,4200,
Kerala,Kovalam,luxury,5500,2200,1200,1600,10500,
Kerala,Kumarakom,budget,1120,690,440,500,2750,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Kerala,Kumarakom,mid-range,2380,1310,690,880,5260,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Kerala,Kumarakom,luxury,6880,2750,1500,2000,13130,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Kerala,Varkala,budget,900,550,350,400,2200,
Kerala,Varkala,mid-range,1900,1050,550,700,4200,
Kerala,Varkala,luxury,5500,2200,1200,1600,10500,
Kerala,Kozhikode,budget,900,550,350,400,2200,
Kerala,Kozhikode,mid-range,1900,1050,550,700,4200,
Kerala,Kozhikode,luxury,5500,2200,1200,1600,10500,
Tamil Nadu,Chennai,budget,1120,690,440,500,2750,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Tamil Nadu,Chennai,mid-range,2380,1310,690,880,5260,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Tamil Nadu,Chennai,luxury,6880,2750,1500,2000,13130,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Tamil Nadu,Ooty,budget,1120,690,440,500,2750,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Tamil Nadu,Ooty,mid-range,2380,1310,690,880,5260,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Tamil Nadu,Ooty,luxury,6880,2750,1500,2000,13130,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Tamil Nadu,Madurai,budget,900,550,350,400,2200,
Tamil Nadu,Madurai,mid-range,1900,1050,550,700,4200,
Tamil Nadu,Madurai,luxury,5500,2200,1200,1600,10500,
Tamil Nadu,Kodaikanal,budget,900,550,350,400,2200,
Tamil Nadu,Kodaikanal,mid-range,1900,1050,550,700,4200,
Tamil Nadu,Kodaikanal,luxury,5500,2200,1200,1600,10500,
Tamil Nadu,Rameswaram,budget,900,550,350,400,2200,
Tamil Nadu,Rameswaram,mid-range,1900,1050,550,700,4200,
Tamil Nadu,Rameswaram,luxury,5500,2200,1200,1600,10500,
Tamil Nadu,Kanyakumari,budget,740,450,290,330,1810,Smaller town — generally lower accommodation & transport costs than state capital
Tamil Nadu,Kanyakumari,mid-range,1560,860,450,570,3440,Smaller town — generally lower accommodation & transport costs than state capital
Tamil Nadu,Kanyakumari,luxury,4510,1800,980,1310,8600,Smaller town — generally lower accommodation & transport costs than state capital
Tamil Nadu,Mahabalipuram,budget,900,550,350,400,2200,
Tamil Nadu,Mahabalipuram,mid-range,1900,1050,550,700,4200,
Tamil Nadu,Mahabalipuram,luxury,5500,2200,1200,1600,10500,
Tamil Nadu,Coimbatore,budget,900,550,350,400,2200,
Tamil Nadu,Coimbatore,mid-range,1900,1050,550,700,4200,
Tamil Nadu,Coimbatore,luxury,5500,2200,1200,1600,10500,
Tamil Nadu,Thanjavur,budget,900,550,350,400,2200,
Tamil Nadu,Thanjavur,mid-range,1900,1050,550,700,4200,
Tamil Nadu,Thanjavur,luxury,5500,2200,1200,1600,10500,
Karnataka,Bangalore,budget,1120,690,440,500,2750,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Karnataka,Bangalore,mid-range,2380,1310,690,880,5260,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Karnataka,Bangalore,luxury,6880,2750,1500,2000,13130,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Karnataka,Mysore,budget,1120,690,440,500,2750,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Karnataka,Mysore,mid-range,2380,1310,690,880,5260,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
