state,city,place_name,category,sub_category,must_visit,description,duration_needed,best_time_to_visit,ideal_for
Maharashtra,Mumbai,Gateway of India,Sightseeing,Monument/Historic Site,Yes,Iconic limestone arch monument overlooking Mumbai Harbor,1-2 hrs,Oct-Mar (early morning),"Family, Couple, Solo"
Maharashtra,Mumbai,Siddhivinayak Temple,Sightseeing,Religious Site,Yes,Siddhivinayak Temple - Important religious and pilgrimage site,1-2 hrs,Year-round,"Family, Solo"
Maharashtra,Mumbai,Bademiya,Food & Dining,Food & Dining,Yes,Bademiya - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Maharashtra,Pune,Shaniwar Wada,Sightseeing,Tourist Spot,No,Shaniwar Wada - Local attraction,1-2 hrs,Year-round,Tourist
Maharashtra,Pune,Sinhagad Fort viewpoint,Sightseeing,Heritage Fort,Yes,Sinhagad Fort viewpoint - Historic fort with architectural significance,2-3 hrs,Oct-Mar,"Family, Couple, Solo"
Maharashtra,Pune,Vaishali,Food & Dining,Food & Dining,Yes,Vaishali - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Maharashtra,Nashik,Sula Vineyards,Sightseeing,Tourist Spot,No,Sula Vineyards - Local attraction,1-2 hrs,Year-round,Tourist
Maharashtra,Nashik,Trimbakeshwar Temple,Sightseeing,Religious Site,Yes,Trimbakeshwar Temple - Important religious and pilgrimage site,1-2 hrs,Year-round,"Family, Solo"
Maharashtra,Nashik,Chandu Halwai,Food & Dining,Food & Dining,Yes,Chandu Halwai - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Maharashtra,Aurangabad (Chhatrapati Sambhajinagar),Ajanta & Ellora Caves,Sightseeing,Tourist Spot,No,Ajanta & Ellora Caves - Local attraction,1-2 hrs,Year-round,Tourist
Maharashtra,Aurangabad (Chhatrapati Sambhajinagar),Bibi Ka Maqbara,Sightseeing,Tourist Spot,No,Bibi Ka Maqbara - Local attraction,1-2 hrs,Year-round,Tourist
Maharashtra,Aurangabad (Chhatrapati Sambhajinagar),Bhoj Restaurant,Food & Dining,Food & Dining,Yes,Bhoj Restaurant - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Maharashtra,Lonavala,Tiger's Point viewpoint,Sightseeing,Viewpoint,Yes,Tiger's Point viewpoint - Scenic viewpoint with panoramic views,1-2 hrs,Morning/Sunset,"Family, Couple, Solo"
Maharashtra,Lonavala,Bhaja Caves,Sightseeing,Tourist Spot,No,Bhaja Caves - Local attraction,1-2 hrs,Year-round,Tourist
Maharashtra,Lonavala,Adarsh Restaurant,Food & Dining,Food & Dining,Yes,Adarsh Restaurant - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Maharashtra,Mahabaleshwar,Venna Lake,Sightseeing,Nature/Lake,Yes,Venna Lake - Scenic lake destination,1-2 hrs,Year-round,"Family, Couple, Solo"
Maharashtra,Mahabaleshwar,Mahabaleshwar Point (Arthur's Seat),Sightseeing,Viewpoint,Yes,Mahabaleshwar Point (Arthur's Seat) - Scenic viewpoint with panoramic views,1-2 hrs,Morning/Sunset,"Family, Couple, Solo"
Maharashtra,Mahabaleshwar,Mapro Garden,Food & Dining,Food & Dining,Yes,Mapro Garden - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Maharashtra,Nagpur,Deekshabhoomi,Sightseeing,Tourist Spot,No,Deekshabhoomi - Local attraction,1-2 hrs,Year-round,Tourist
Maharashtra,Nagpur,Sitabuldi Fort,Sightseeing,Heritage Fort,Yes,Sitabuldi Fort - Historic fort with architectural significance,2-3 hrs,Oct-Mar,"Family, Couple, Solo"
Maharashtra,Nagpur,Haldiram's Nagpur,Food & Dining,Food & Dining,Yes,Haldiram's Nagpur - Popular local restaurant serving regional cuisine,1-2 hrs,Evening/Dinner,"Family, Couple, Solo"
Maharashtra,Kolhapur,Mahalaxmi Temple,Sightseeing,Religious Site,Yes,Mahalaxmi Temple - Important religious and pilgrimage site,1-2 hrs,Year-round,"Family, Solo"
Maharashtra,Kolhapur,Rankala Lake,Sightseeing,Nature/Lake,Yes,Rankala Lake - Scenic lake destination,1-2 hrs,Year-round,"Family, Couple, Solo"
